             id, partitions,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr
  4 threadCount, 113793    ,    4219,    3773,   15040,     0.9,     0.9,     1.5,     2.1,     6.3,    31.5,   30.2,  0.00846
  8 threadCount, 137662    ,    5075,    4538,   18106,     1.6,     1.4,     2.9,     5.1,    20.1,    36.0,   30.3,  0.00896
 16 threadCount, 166180    ,    6095,    5444,   21701,     2.6,     2.2,     5.5,     8.7,    21.4,    40.3,   30.5,  0.00619
 24 threadCount, 171222    ,    6258,    5586,   22224,     3.8,     3.1,     8.1,    13.4,    28.4,   703.5,   30.6,  0.01146
 36 threadCount, 182360    ,    6632,    5924,   23571,     5.4,     4.6,    11.5,    19.7,    34.7,   211.3,   30.8,  0.00579
 54 threadCount, 190032    ,    6834,    6109,   24323,     7.9,     6.9,    16.3,    26.0,    41.3,    68.8,   31.1,  0.00511
 81 threadCount, 193598    ,    6852,    6130,   24397,    11.8,    10.3,    23.9,    35.8,    51.9,   168.2,   31.6,  0.00700
121 threadCount, 199891    ,    6899,    6170,   24551,    17.5,    15.3,    31.9,    45.6,   649.3,   864.2,   32.4,  0.00605
181 threadCount, 210030    ,    7195,    6429,   25578,    25.1,    23.0,    46.1,    67.9,   110.5,   181.0,   32.7,  0.00411
271 threadCount, 223373    ,    7132,    6366,   25337,    37.7,    33.2,    74.4,   107.9,   713.3,   929.6,   35.1,  0.01103
